n_genes: 20 n_cond: 100
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	7
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	11
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	6
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	9
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	2
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	9
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	4
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	2
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	6
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	7
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	6
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	2
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	7
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	6
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	2
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	9
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	5
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	7
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	2
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	5
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	4
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	9
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	5
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	10
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	6
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	2
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	1
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	9
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	4
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	7
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	6
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	10
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	9
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	5
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	7
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	5
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	7
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	9
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	10
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	2
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	7
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	8
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	7
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	9
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 0 0 	8 	10
1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 	8 	3
1 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 	16 	8
